,ID,날짜,조사기관,응답률,조사방법,이재명,윤석열,안철수,심상정,없음,등록번호,선거여론조사기관,조사의뢰자,조사방법new,표본추출틀,표본크기,응답률new,접촉률,표본오차,공표일시
336,337,2022-01-11 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9653&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,13.5%,전화면접RDD,37,31,17,3,10,8679,"(주)한국갤럽조사연구소,",조사기관 자체 : 한국갤럽 자체 조사,"[['무선전화면접', '90%'], ['유선전화면접', '10%']]","['RDD', 'RDD']",1001,13.5%,27.2%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-14 10시 00분
								"
337,338,2022-01-11 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9652&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.2%,ARSRDD,38,-,51,-,8,8678,"(주)리서치뷰,",통신사 : UPI뉴스,"[['무선 ARS', '85%'], ['유선 ARS', '15%']]","['RDD', 'RDD']",1000,6.2%,44.3%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-13 22시 00분
								"
338,339,2022-01-11 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9652&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.2%,ARSRDD,42,48,-,-,6,8678,"(주)리서치뷰,",통신사 : UPI뉴스,"[['무선 ARS', '85%'], ['유선 ARS', '15%']]","['RDD', 'RDD']",1000,6.2%,44.3%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-13 22시 00분
								"
339,340,2022-01-11 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9652&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.2%,ARSRDD,36,42,12,3,5,8678,"(주)리서치뷰,",통신사 : UPI뉴스,"[['무선 ARS', '85%'], ['유선 ARS', '15%']]","['RDD', 'RDD']",1000,6.2%,44.3%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-13 22시 00분
								"
340,341,2022-01-12 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9650&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.2%,ARSRDD,34.7,-,43,4.4,12.6,8677,"PNR-(주)피플네트웍스,",전국단위 신문/기타 : 프라임경제신문/미래한국연구소,"[['무선 ARS', '100%']]",['RDD'],1000,7.2%,20.4%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-14 13시 50분
								"
341,342,2022-01-12 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9650&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.2%,ARSRDD,38.2,46.9,-,4.4,6,8677,"PNR-(주)피플네트웍스,",전국단위 신문/기타 : 프라임경제신문/미래한국연구소,"[['무선 ARS', '100%']]",['RDD'],1000,7.2%,20.4%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-14 13시 50분
								"
342,343,2022-01-12 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9650&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.2%,ARSRDD,37.8,42.2,10.6,2.4,3.2,8677,"PNR-(주)피플네트웍스,",전국단위 신문/기타 : 프라임경제신문/미래한국연구소,"[['무선 ARS', '100%']]",['RDD'],1000,7.2%,20.4%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-14 13시 50분
								"
343,344,2022-01-11 ~ 2022-01-12,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9648&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,22.4%,전화면접가상번호,33.8,-,47.3,-,15.3,8675,"(주)코리아리서치인터내셔널,",방송사 : MBC,"[['무선전화면접', '100%']]",['통신사제공'],1003,22.4%,26.6%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-13 16시 00분
								"
344,345,2022-01-11 ~ 2022-01-12,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9648&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,22.4%,전화면접가상번호,38.5,46,-,-,12,8675,"(주)코리아리서치인터내셔널,",방송사 : MBC,"[['무선전화면접', '100%']]",['통신사제공'],1003,22.4%,26.6%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-13 16시 00분
								"
345,346,2022-01-11 ~ 2022-01-12,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9648&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,22.4%,전화면접가상번호,32.8,38.8,12.1,2.5,12.7,8675,"(주)코리아리서치인터내셔널,",방송사 : MBC,"[['무선전화면접', '100%']]",['통신사제공'],1003,22.4%,26.6%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-13 16시 00분
								"
346,347,2022-01-10 ~ 2022-01-11,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9640&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.1%,ARSRDD,33.2,-,42.3,4.5,12,8672,"(주)리얼미터,",방송사 : YTN,"[['유선 ARS', '10%'], ['무선 ARS', '90%']]","['RDD', '통신사제공']",1011,10.1%,32.2%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-12 03시 30분
								"
347,348,2022-01-10 ~ 2022-01-12,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9647&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,29.3%,전화면접가상번호,37,28,14,3,17,8674,"(주)코리아리서치인터내셔널,케이스탯리서치","조사기관 자체 : ㈜엠브레인퍼블릭, 케이스탯리서치, ㈜코리아리서치인터내셔널, ㈜한국리서치","[['무선전화면접', '100%']]",['통신사제공'],1000,29.3%,23.3%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-13 11시 00분
								"
348,349,2022-01-10 ~ 2022-01-11,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9640&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.1%,ARSRDD,38.1,43.6,-,4.3,8.4,8672,"(주)리얼미터,",방송사 : YTN,"[['유선 ARS', '10%'], ['무선 ARS', '90%']]","['RDD', '통신사제공']",1011,10.1%,32.2%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-12 03시 30분
								"
349,350,2022-01-10 ~ 2022-01-11,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9640&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.1%,ARSRDD,36.9,39.2,12.2,3,5.7,8672,"(주)리얼미터,",방송사 : YTN,"[['유선 ARS', '10%'], ['무선 ARS', '90%']]","['RDD', '통신사제공']",1011,10.1%,32.2%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-12 03시 30분
								"
350,351,2022-01-08 ~ 2022-01-09,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9635&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.1%,ARSRDD,35.7,38.9,12.9,3.2,6.6,8667,"조원씨앤아이,",인터넷언론 : 스트레이트뉴스,"[['무선 ARS', '100%']]",['RDD'],1010,5.1%,18.5%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-12 11시 00분
								"
351,352,2022-01-08 ~ 2022-01-10,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9634&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.8%,ARSRDD,38.8,45.2,-,-,-,8666,"한길리서치,",인터넷언론 : 쿠키뉴스,"[['유선전화면접', '17.4%'], ['무선 ARS', '82.6%']]","['RDD', 'RDD']",1014,6.8%,21.0%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-12 05시 00분
								"
352,353,2022-01-08 ~ 2022-01-10,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9634&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.8%,ARSRDD,37.9,-,41.2,-,21,8666,"한길리서치,",인터넷언론 : 쿠키뉴스,"[['유선전화면접', '17.4%'], ['무선 ARS', '82.6%']]","['RDD', 'RDD']",1014,6.8%,21.0%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-12 05시 00분
								"
353,354,2022-01-08 ~ 2022-01-10,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9634&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.8%,ARSRDD,35.3,38,11,2.2,8.4,8666,"한길리서치,",인터넷언론 : 쿠키뉴스,"[['유선전화면접', '17.4%'], ['무선 ARS', '82.6%']]","['RDD', 'RDD']",1014,6.8%,21.0%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-12 05시 00분
								"
354,355,2022-01-08 ~ 2022-01-09,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9629&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.1%,ARS가상번호,40.6,-,45.9,-,8.2,8664,"미디어토마토,",시·도단위 신문 : 뉴스토마토,"[['무선 ARS', '100%']]",['통신사제공'],1017,7.1%,48.8%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-11 06시 00분
								"
355,356,2022-01-08 ~ 2022-01-09,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9629&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.1%,ARS가상번호,44,43.2,-,-,6.3,8664,"미디어토마토,",시·도단위 신문 : 뉴스토마토,"[['무선 ARS', '100%']]",['통신사제공'],1017,7.1%,48.8%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-11 06시 00분
								"
356,357,2022-01-08 ~ 2022-01-09,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9629&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.1%,ARS가상번호,38.2,38.2,12.1,3.2,6.1,8664,"미디어토마토,",시·도단위 신문 : 뉴스토마토,"[['무선 ARS', '100%']]",['통신사제공'],1017,7.1%,48.8%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-11 06시 00분
								"
357,358,2022-01-08 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9628&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.5%,ARSRDD,40.7,48.6,-,-,5.4,8662,"(주)코리아정보리서치중부본부,",통신사 : 뉴스핌,"[['무선 ARS', '100%']]",['RDD'],1003,5.5%,24.2%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-11 06시 00분
								"
358,359,2022-01-08 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9628&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.5%,ARSRDD,35.9,-,53.3,-,7,8662,"(주)코리아정보리서치중부본부,",통신사 : 뉴스핌,"[['무선 ARS', '100%']]",['RDD'],1003,5.5%,24.2%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-11 06시 00분
								"
359,360,2022-01-08 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9628&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.5%,ARSRDD,34.7,40.3,13,2.2,5.3,8662,"(주)코리아정보리서치중부본부,",통신사 : 뉴스핌,"[['무선 ARS', '100%']]",['RDD'],1003,5.5%,24.2%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-11 06시 00분
								"
360,361,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9627&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.3%,ARSRDD,33.8,-,33.4,4.5,16.5,8661,"여론조사공정(주),",인터넷언론 : 데일리안,"[['무선 ARS', '100%']]",['RDD'],1000,7.3%,19.3%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-11 07시 00분
								"
361,362,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9627&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.3%,ARSRDD,37.1,43.4,-,4,9.9,8661,"여론조사공정(주),",인터넷언론 : 데일리안,"[['무선 ARS', '100%']]",['RDD'],1000,7.3%,19.3%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-11 07시 00분
								"
362,363,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9627&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.3%,ARSRDD,36.5,36.9,14,1.6,6.8,8661,"여론조사공정(주),",인터넷언론 : 데일리안,"[['무선 ARS', '100%']]",['RDD'],1000,7.3%,19.3%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-11 07시 00분
								"
363,364,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9625&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19.9%,전화면접가상번호,28.9,-,42.3,4.3,21.8,8660,"서던포스트,",방송사 : cbs,"[['무선전화면접', '100%']]",['통신사제공'],1002,19.9%,24.7%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-09 12시 00분
								"
364,365,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9625&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19.9%,전화면접가상번호,33.6,34.4,-,4.7,23.9,8660,"서던포스트,",방송사 : cbs,"[['무선전화면접', '100%']]",['통신사제공'],1002,19.9%,24.7%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-09 12시 00분
								"
365,366,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9625&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19.9%,전화면접가상번호,34.1,26.4,12.8,3.1,21.5,8660,"서던포스트,",방송사 : cbs,"[['무선전화면접', '100%']]",['통신사제공'],1002,19.9%,24.7%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-09 12시 00분
								"
366,367,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9624&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.5%,전화면접가상번호,38.2,-,43.5,-,15.7,8658,"(주)코리아리서치인터내셔널,",방송사 : MBC,"[['무선전화면접', '100%']]",['통신사제공'],1003,22.5%,25.5%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-10 07시 00분
								"
367,368,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9624&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.5%,전화면접가상번호,44.5,39.2,-,-,13.5,8658,"(주)코리아리서치인터내셔널,",방송사 : MBC,"[['무선전화면접', '100%']]",['통신사제공'],1003,22.5%,25.5%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-10 07시 00분
								"
368,369,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9624&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.5%,전화면접가상번호,37.1,30.5,13.6,4,13.5,8658,"(주)코리아리서치인터내셔널,",방송사 : MBC,"[['무선전화면접', '100%']]",['통신사제공'],1003,22.5%,25.5%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-10 07시 00분
								"
369,370,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9623&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,8.7%,ARS가상번호,37.6,35.2,15.1,2.3,6.8,8657,"케이에스오아이주식회사(한국사회여론연구소),",조사기관 자체 : 한국사회여론연구소 자체조사,"[['무선 ARS', '100%']]",['통신사제공'],1001,8.7%,39.5%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-09 14시 00분
								"
370,371,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9622&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.1%,ARSRDD,40,39.5,-,3.4,9.3,8656,"PNR-(주)피플네트웍스,",인터넷언론 : 뉴데일리,"[['무선 ARS', '90%'], ['유선 ARS', '10%']]","['RDD', 'RDD']",1001,6.1%,21.1%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-09 13시 50분
								"
371,372,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9622&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.1%,ARSRDD,38.6,37.4,12.9,-,7.1,8656,"PNR-(주)피플네트웍스,",인터넷언론 : 뉴데일리,"[['무선 ARS', '90%'], ['유선 ARS', '10%']]","['RDD', 'RDD']",1001,6.1%,21.1%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-09 13시 50분
								"
372,373,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9622&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.1%,ARSRDD,38.5,37.7,13.4,2.9,4.1,8656,"PNR-(주)피플네트웍스,",인터넷언론 : 뉴데일리,"[['무선 ARS', '90%'], ['유선 ARS', '10%']]","['RDD', 'RDD']",1001,6.1%,21.1%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-09 13시 50분
								"
373,374,2022-01-02 ~ 2022-01-07,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9621&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.6%,ARSRDD,40.1,34.1,11.1,2.8,8.8,8655,"(주)리얼미터,",인터넷언론 : 오마이뉴스,"[['유선 ARS', '5%'], ['무선 ARS', '75%'], ['무선전화면접', '20%']]","['RDD', 'RDD', 'RDD']",3042,7.6%,24.3%,95%신뢰수준에±1.8%P,"
								
									
									
								
								  2022-01-10 06시 00분
								"
374,375,2022-01-03 ~ 2022-01-04,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9620&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19%,전화면접가상번호,39.1,26,10.6,3.1,17.9,8654,"(주)한국리서치,",방송사 : KBS,"[['무선전화면접', '100%']]",['통신사제공'],1001,19%,29.5%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-09 22시 30분
								"
375,376,2022-01-05 ~ 2022-01-06,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9617&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,11.2%,전화면접RDD,38,25.1,12,3,20.2,8653,"(주)글로벌리서치,",방송사 : JTBC,"[['무선전화면접', '100%']]",['RDD'],1006,11.2%,26.4%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-07 16시 30분
								"
376,377,2022-01-04 ~ 2022-01-06,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9615&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,14.5%,전화면접RDD,36,26,15,5,15,8650,"(주)한국갤럽조사연구소,",조사기관 자체 : 한국갤럽 자체 조사,"[['무선전화면접', '90%'], ['유선전화면접', '10%']]","['RDD', 'RDD']",1002,14.5%,27.6%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-07 10시 00분
								"
377,378,2022-01-04 ~ 2022-01-06,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9614&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.9%,ARSRDD,41,38,13,3,5,8649,"(주)리서치뷰,",통신사 : UPI뉴스,"[['무선 ARS', '85%'], ['유선 ARS', '15%']]","['RDD', 'RDD']",1000,5.9%,47.3%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-06 22시 00분
								"
378,379,2022-01-03 ~ 2022-01-05,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9607&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,27.9%,전화면접가상번호,36,28,12,2,20,8646,"(주)엠브레인퍼블릭,(주)코리아리서치인터네셔널","조사기관 자체 : ㈜엠브레인퍼블릭, 케이스탯리서치, ㈜코리아리서치인터내셔널, ㈜한국리서치","[['무선전화면접', '100%']]",['통신사제공'],1000,27.9%,24.0%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-06 11시 00분
								"
379,380,2022-01-04 ~ 2022-01-05,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9605&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.5%,ARSRDD,43.6,42.1,-,-,6.7,8643,"미디어리서치,",방송사 : OBS,"[['무선 ARS', '100%']]",['RDD'],1001,5.5%,18.5%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-06 19시 30분
								"
380,381,2022-01-04 ~ 2022-01-05,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9605&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.5%,ARSRDD,40.3,37,9.2,3.6,6.1,8643,"미디어리서치,",방송사 : OBS,"[['무선 ARS', '100%']]",['RDD'],1001,5.5%,18.5%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-06 19시 30분
								"
381,382,2022-01-04 ~ 2022-01-05,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9604&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,8%,ARS가상번호,38.5,34.2,12.2,3.3,9.4,8642,"(주)알앤써치,",방송사/전국단위 신문 : MBN/매일경제,"[['무선 ARS', '100%']]",['통신사제공'],1003,8%,45.9%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-06 13시 50분
								"
382,383,2022-01-03 ~ 2022-01-04,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9602&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19%,전화면접가상번호,39.1,26,10.6,3.1,17.9,8640,"(주)한국리서치,",방송사 : KBS,"[['무선전화면접', '100%']]",['통신사제공'],1001,19%,29.5%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-05 16시 00분
								"
383,384,2022-01-03 ~ 2022-01-04,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9594&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,17%,전화면접가상번호,37.6,29.2,12.9,3.6,13.5,8632,"(주)한국갤럽조사연구소,",전국단위 신문 : 머니투데이,"[['무선전화면접', '87.9%'], ['유선전화면접', '12.1%']]","['통신사제공', 'RDD']",1001,17%,24.8%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-05 12시 00분
								"
384,385,2022-01-04 ~ 2022-01-04,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9595&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10%,ARSRDD,42.3,40.7,-,-,5.4,8633,"PNR-(주)피플네트웍스,",전국단위 신문/기타 : 프라임경제신문/미래한국연구소,"[['무선 ARS', '100%']]",['RDD'],1000,10%,21.5%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-05 00시 10분
								"
385,386,2022-01-04 ~ 2022-01-04,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9595&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10%,ARSRDD,41.8,40.3,-,3.3,5.3,8633,"PNR-(주)피플네트웍스,",전국단위 신문/기타 : 프라임경제신문/미래한국연구소,"[['무선 ARS', '100%']]",['RDD'],1000,10%,21.5%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-05 00시 10분
								"
386,387,2022-01-04 ~ 2022-01-04,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9595&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10%,ARSRDD,41,38,13.4,-,5,8633,"PNR-(주)피플네트웍스,",전국단위 신문/기타 : 프라임경제신문/미래한국연구소,"[['무선 ARS', '100%']]",['RDD'],1000,10%,21.5%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-01-05 00시 10분
								"
