ID,날짜,조사기관,응답률,조사방법,이재명,윤석열,안철수,심상정,없음
22,2022-02-28 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10166&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22%,전화면접RDD,33.3,-,41.9,5.8,17.5
23,2022-02-28 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10166&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22%,전화면접RDD,41.5,47.4,-,3.9,6.2
24,2022-02-28 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10166&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22%,전화면접RDD,40.4,43.7,8.1,1.8,3.6
25,2022-02-28 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10156&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,14.8%,ARSRDD,40.6,45.1,7.1,1.9,3.9
26,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10147&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,21.6%,전화면접가상번호,39.7,-,34.2,-,22.3
27,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10147&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,21.6%,전화면접가상번호,41.9,43.7,6,2.2,3.8
28,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10147&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,21.6%,전화면접가상번호,45,45.9,-,-,7.1
29,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10146&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.4%,전화면접가상번호,39.5,-,37,9.8,11.5
30,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10146&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.4%,전화면접가상번호,42.2,42.5,-,7.3,7.6
31,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10146&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.4%,전화면접가상번호,39.2,40.6,9,2.1,7.6
32,2022-02-28 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10145&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,20.9%,전화면접가상번호,36.6,42.3,6.7,2.9,10.6
33,2022-02-28 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10143&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,8.6%,ARSRDD,42.1,44.9,7,2.6,1.9
34,2022-02-28 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10141&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,15.5%,전화면접가상번호,37.9,44.2,8.9,2.1,5.3
35,2022-02-26 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10139&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,9.9%,ARSRDD,42.4,45.3,7.3,1.7,2
36,2022-02-26 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10136&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,7.8%,ARSRDD,42.5,46.5,6.4,2.1,1.2
37,2022-02-28 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10135&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.4%,ARSRDD,38.4,-,29.7,3.9,20.1
38,2022-02-28 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10135&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.4%,ARSRDD,43.5,48.4,-,2.8,4
39,2022-02-28 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10135&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.4%,ARSRDD,43.1,46.3,6.7,1.9,1.2
40,2022-02-28 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10134&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,11%,ARSRDD,46.8,46.4,-,-,2.3
41,2022-02-28 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10134&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,11%,ARSRDD,45,44.9,5.1,1.5,1.6
42,2022-02-28 ~ 2022-02-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10132&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,9.3%,ARSRDD,43.2,46.5,4.5,2.1,0.8
43,2022-02-27 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10127&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,12.5%,전화면접RDD,31.8,-,44.4,3.7,18.8
44,2022-02-27 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10127&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,12.5%,전화면접RDD,38.3,49,-,3,8.9
45,2022-02-27 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10127&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,12.5%,전화면접RDD,34.1,44.1,7.8,2,10.2
46,2022-02-25 ~ 2022-02-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10123&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4%,ARSRDD,41.5,46.8,6.2,2.8,1
47,2022-02-27 ~ 2022-02-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10119&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,7.2%,ARS가상번호,40,-,34.4,11.1,11
48,2022-02-27 ~ 2022-02-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10119&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,7.2%,ARS가상번호,46.1,47.5,-,2.1,2.3
49,2022-02-27 ~ 2022-02-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10119&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,7.2%,ARS가상번호,43.7,44.6,7.4,1.9,1.8
50,2022-02-26 ~ 2022-02-27,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10109&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,11.1%,ARS가상번호,42,44.2,8.5,2.1,1.8
51,2022-02-25 ~ 2022-02-27,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10115&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,9%,ARSRDD,42.3,45.4,5.5,2.1,2.3
52,2022-02-26 ~ 2022-02-27,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10108&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,11.1%,ARSRDD,41,46.1,7.9,2.5,1.3
53,2022-02-24 ~ 2022-02-27,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10107&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,13.8%,ARSRDD,39.5,42,8.6,1.8,6.3
54,2022-02-25 ~ 2022-02-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10105&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,17.1%,전화면접가상번호,43.8,36.1,7.3,3.4,6.7
55,2022-02-25 ~ 2022-02-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10100&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,9.4%,ARS가상번호,43.2,45,5.9,1.5,1.8
56,2022-02-26 ~ 2022-02-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10094&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,16.4%,전화면접가상번호,40,40.4,8.1,2.7,6.9
57,2022-02-25 ~ 2022-02-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10093&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,24%,전화면접가상번호,38.3,-,41.9,9,9.2
58,2022-02-25 ~ 2022-02-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10093&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,24%,전화면접가상번호,40.4,44.8,-,7.8,6.5
59,2022-02-25 ~ 2022-02-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10093&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,24%,전화면접가상번호,37.2,42.3,11,3.5,4.8
60,2022-02-24 ~ 2022-02-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10092&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,24.7%,전화면접가상번호,39.8,39.8,8.2,3.1,7.2
61,2022-02-25 ~ 2022-02-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10090&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.6%,전화면접가상번호,40.2,-,41.7,-,15.4
62,2022-02-25 ~ 2022-02-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10090&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.6%,전화면접가상번호,44.6,45.5,-,-,7.8
63,2022-02-25 ~ 2022-02-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10090&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.6%,전화면접가상번호,40.2,42.4,9,2.8,3.7
64,2022-02-23 ~ 2022-02-24,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10082&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,13.6%,전화면접RDD,34.9,36.5,8.5,3.1,15.1
65,2022-02-23 ~ 2022-02-24,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10083&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,8.8%,ARSRDD,41,43.8,7.4,3.1,2.3
66,2022-02-22 ~ 2022-02-24,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10085&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.2%,ARSRDD,41,46,7,2,3
67,2022-02-22 ~ 2022-02-24,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10084&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,15%,전화면접RDD,38,37,12,4,7
68,2022-02-22 ~ 2022-02-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10076&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,15.6%,전화면접RDD,33.7,-,47.5,4.9,12.7
