ID,날짜,조사기관,응답률,조사방법,이재명,윤석열,안철수,심상정,없음
272,2022-01-21 ~ 2022-01-22,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9713&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,8.1%,ARSRDD,35.5,47.1,9.5,2.8,3.1
273,2022-01-16 ~ 2022-01-21,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9711&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,8.7%,ARSRDD,36.8,42,10,2.5,6.3
274,2022-01-18 ~ 2022-01-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9704&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,13.6%,전화면접RDD,34,33,17,3,12
275,2022-01-18 ~ 2022-01-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9703&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.7%,ARSRDD,38,-,49,-,6
276,2022-01-18 ~ 2022-01-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9703&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.7%,ARSRDD,41,49,-,-,6
277,2022-01-18 ~ 2022-01-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9703&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.7%,ARSRDD,36,43,10,3,5
278,2022-01-19 ~ 2022-01-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9702&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.4%,ARSRDD,33.4,-,43.3,5.3,11.2
279,2022-01-19 ~ 2022-01-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9702&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.4%,ARSRDD,37.8,47.4,-,5.2,4.2
280,2022-01-19 ~ 2022-01-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9702&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.4%,ARSRDD,35.9,44.7,8.5,3,3.3
281,2022-01-17 ~ 2022-01-19,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9701&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19.1%,전화면접가상번호,31,-,48.5,2.6,15.7
282,2022-01-17 ~ 2022-01-19,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9701&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19.1%,전화면접가상번호,38,42.1,-,4.5,14.1
283,2022-01-17 ~ 2022-01-19,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9701&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19.1%,전화면접가상번호,34.5,33,12.9,3,15.1
284,2022-01-17 ~ 2022-01-19,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9699&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,26.5%,전화면접가상번호,34,33,12,3,17
285,2022-01-12 ~ 2022-01-15,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9697&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,9.3%,전화면접RDD,36.5,35,12.7,3,10.9
286,2022-01-18 ~ 2022-01-19,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9693&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.7%,ARSRDD,37.3,48.8,-,-,4.9
287,2022-01-18 ~ 2022-01-19,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9693&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.7%,ARSRDD,34.7,45.7,10,2.4,3.3
288,2022-01-17 ~ 2022-01-18,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9685&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,17.6%,전화면접가상번호,35.7,-,43.6,8.1,9.8
289,2022-01-17 ~ 2022-01-18,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9685&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,17.6%,전화면접가상번호,39,42.5,-,9.1,8.2
290,2022-01-17 ~ 2022-01-18,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9685&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,17.6%,전화면접가상번호,34.9,36.1,13.5,3.9,9.3
291,2022-01-16 ~ 2022-01-17,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9680&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,16.9%,전화면접가상번호,34.2,-,31.6,5.3,23.1
292,2022-01-16 ~ 2022-01-17,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9680&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,16.9%,전화면접가상번호,37.5,37.2,-,6.2,15.8
293,2022-01-16 ~ 2022-01-17,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9680&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,16.9%,전화면접가상번호,34.6,32.9,14,3.3,13.2
294,2022-01-17 ~ 2022-01-17,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9683&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5%,ARSRDD,38.6,-,24.3,-,16.3
295,2022-01-17 ~ 2022-01-17,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9683&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5%,ARSRDD,39.5,48.9,-,-,5.6
296,2022-01-17 ~ 2022-01-17,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9683&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5%,ARSRDD,35.8,44.4,9.5,2.7,3.4
297,2022-01-16 ~ 2022-01-17,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9679&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19.5%,전화면접가상번호,35.6,34.4,14.4,2.4,10.6
298,2022-01-16 ~ 2022-01-17,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9679&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19.5%,전화면접가상번호,37.9,-,47.7,-,11.9
299,2022-01-16 ~ 2022-01-17,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9679&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19.5%,전화면접가상번호,43,42.4,-,-,11.8
300,2022-01-15 ~ 2022-01-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9675&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,17.1%,전화면접RDD,31.3,-,51,4.2,12.4
301,2022-01-15 ~ 2022-01-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9675&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,17.1%,전화면접RDD,37.2,45.3,-,5.9,10.3
302,2022-01-15 ~ 2022-01-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9675&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,17.1%,전화면접RDD,33.4,35.9,15.6,4,9.5
303,2022-01-15 ~ 2022-01-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9673&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.9%,ARS가상번호,41.3,48.6,-,-,4.8
304,2022-01-15 ~ 2022-01-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9673&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.9%,ARS가상번호,38.2,-,49.9,-,6.3
305,2022-01-15 ~ 2022-01-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9673&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.9%,ARS가상번호,35.6,42.5,10.9,2.7,4.2
306,2022-01-15 ~ 2022-01-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9674&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.9%,ARSRDD,30.1,-,42.7,4.6,14.7
307,2022-01-15 ~ 2022-01-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9674&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.9%,ARSRDD,35.6,48.3,-,4,7.9
308,2022-01-15 ~ 2022-01-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9674&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.9%,ARSRDD,36,43.4,11.7,1.8,4.8
309,2022-01-11 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9655&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,94.1%,,31.7,21.6,11.5,3.2,30.9
310,2022-01-11 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9655&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,94.1%,,42.5,33.6,-,-,23.9
311,2022-01-11 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9655&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,94.1%,,38.3,-,40.5,-,21.2
312,2022-01-15 ~ 2022-01-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9666&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.2%,전화면접RDD,26.6,-,47.9,2.5,20.5
313,2022-01-15 ~ 2022-01-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9666&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.2%,전화면접RDD,32.2,39.3,-,3.9,22.1
314,2022-01-15 ~ 2022-01-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9666&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.2%,전화면접RDD,31.7,32.8,12.2,2.7,18.7
315,2022-01-15 ~ 2022-01-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9668&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19.1%,전화면접가상번호,28.5,-,46,2.7,20.6
316,2022-01-15 ~ 2022-01-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9668&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19.1%,전화면접가상번호,34.1,39.6,-,4.2,20.1
317,2022-01-15 ~ 2022-01-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9668&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19.1%,전화면접가상번호,32.9,31.6,12.7,2.7,19.2
318,2022-01-14 ~ 2022-01-15,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9665&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,9.7%,ARSRDD,27,-,36.3,3.5,18.9
319,2022-01-14 ~ 2022-01-15,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9665&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,9.7%,ARSRDD,29.4,53.9,-,3.2,8.7
320,2022-01-14 ~ 2022-01-15,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9665&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,9.7%,ARSRDD,37.1,42.5,10.2,2.3,4.5
321,2022-01-15 ~ 2022-01-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9664&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.7%,ARSRDD,36.4,42.9,11.9,2.3,3.6
322,2022-01-14 ~ 2022-01-15,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9659&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,7.4%,ARSRDD,35.7,47.8,-,4.3,6.7
323,2022-01-14 ~ 2022-01-15,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9659&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,7.4%,ARSRDD,34.9,43.7,14.2,-,4.6
324,2022-01-14 ~ 2022-01-15,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9661&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,20.8%,전화면접가상번호,34.4,31.5,11.8,2.1,18.6
325,2022-01-14 ~ 2022-01-15,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9660&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,8.8%,ARS가상번호,36.2,41.4,9.6,3.6,6.6
326,2022-01-09 ~ 2022-01-14,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9658&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.6%,ARSRDD,34.3,-,42.2,3.2,15.4
327,2022-01-09 ~ 2022-01-14,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9658&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.6%,ARSRDD,37,45.2,-,3.8,10.6
328,2022-01-14 ~ 2022-01-15,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9659&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,7.4%,ARSRDD,33.8,44.8,11.7,3,4.6
329,2022-01-09 ~ 2022-01-14,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9658&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.6%,ARSRDD,36.7,40.6,12.9,2,5.8
330,2022-01-13 ~ 2022-01-14,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9656&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.2%,ARSRDD,34.5,41.9,12.2,2.4,6.1
331,2022-01-10 ~ 2022-01-12,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9643&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,16%,전화면접RDD,36,-,47.7,-,16.3
332,2022-01-10 ~ 2022-01-12,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9643&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,16%,전화면접RDD,40.7,37.9,-,-,21.3
333,2022-01-10 ~ 2022-01-12,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9643&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,16%,전화면접RDD,31.9,28.5,12.4,1.9,24.5
334,2022-01-13 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9654&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.6%,ARSRDD,37.5,41.4,10.5,2.9,3.3
335,2022-01-11 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9653&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,13.5%,전화면접RDD,38,-,45,6,10
336,2022-01-11 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9653&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,13.5%,전화면접RDD,40,42,-,8,9
337,2022-01-11 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9653&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,13.5%,전화면접RDD,37,31,17,3,10
338,2022-01-11 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9652&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.2%,ARSRDD,38,-,51,-,8
339,2022-01-11 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9652&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.2%,ARSRDD,42,48,-,-,6
340,2022-01-11 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9652&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.2%,ARSRDD,36,42,12,3,5
341,2022-01-12 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9650&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.2%,ARSRDD,34.7,-,43,4.4,12.6
342,2022-01-12 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9650&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.2%,ARSRDD,38.2,46.9,-,4.4,6
343,2022-01-12 ~ 2022-01-13,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9650&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.2%,ARSRDD,37.8,42.2,10.6,2.4,3.2
344,2022-01-11 ~ 2022-01-12,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9648&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,22.4%,전화면접가상번호,33.8,-,47.3,-,15.3
345,2022-01-11 ~ 2022-01-12,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9648&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,22.4%,전화면접가상번호,38.5,46,-,-,12
346,2022-01-11 ~ 2022-01-12,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9648&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,22.4%,전화면접가상번호,32.8,38.8,12.1,2.5,12.7
347,2022-01-10 ~ 2022-01-11,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9640&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.1%,ARSRDD,33.2,-,42.3,4.5,12
348,2022-01-10 ~ 2022-01-12,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9647&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,29.3%,전화면접가상번호,37,28,14,3,17
349,2022-01-10 ~ 2022-01-11,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9640&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.1%,ARSRDD,38.1,43.6,-,4.3,8.4
350,2022-01-10 ~ 2022-01-11,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9640&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.1%,ARSRDD,36.9,39.2,12.2,3,5.7
351,2022-01-08 ~ 2022-01-09,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9635&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.1%,ARSRDD,35.7,38.9,12.9,3.2,6.6
352,2022-01-08 ~ 2022-01-10,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9634&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.8%,ARSRDD,38.8,45.2,-,-,-
353,2022-01-08 ~ 2022-01-10,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9634&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.8%,ARSRDD,37.9,-,41.2,-,21
354,2022-01-08 ~ 2022-01-10,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9634&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.8%,ARSRDD,35.3,38,11,2.2,8.4
355,2022-01-08 ~ 2022-01-09,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9629&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.1%,ARS가상번호,40.6,-,45.9,-,8.2
356,2022-01-08 ~ 2022-01-09,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9629&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.1%,ARS가상번호,44,43.2,-,-,6.3
357,2022-01-08 ~ 2022-01-09,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9629&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.1%,ARS가상번호,38.2,38.2,12.1,3.2,6.1
358,2022-01-08 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9628&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.5%,ARSRDD,40.7,48.6,-,-,5.4
359,2022-01-08 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9628&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.5%,ARSRDD,35.9,-,53.3,-,7
360,2022-01-08 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9628&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.5%,ARSRDD,34.7,40.3,13,2.2,5.3
361,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9627&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.3%,ARSRDD,33.8,-,33.4,4.5,16.5
362,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9627&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.3%,ARSRDD,37.1,43.4,-,4,9.9
363,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9627&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.3%,ARSRDD,36.5,36.9,14,1.6,6.8
364,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9625&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19.9%,전화면접가상번호,28.9,-,42.3,4.3,21.8
365,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9625&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19.9%,전화면접가상번호,33.6,34.4,-,4.7,23.9
366,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9625&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19.9%,전화면접가상번호,34.1,26.4,12.8,3.1,21.5
367,2022-01-07 ~ 2022-01-08,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9624&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.5%,전화면접가상번호,38.2,-,43.5,-,15.7
